2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_FL-16-11 [22953],PLU,55.720,0.750,17.760,3.632,4.320,8.260,2.690,0.710,93.842
s_TAB-40 [23868],PLU,55.840,0.780,18.310,7.110,3.490,5.060,3.760,2.230,96.580
s_ZMMH-160 [21851],PLU,55.870,0.667,18.980,6.530,2.610,5.710,3.330,1.790,95.487
s_JJJD_20 [24690],PLU,55.870,0.880,17.630,3.610,4.130,9.910,5.050,0.530,97.610
s_FC1737G [25093],PLU,55.897,1.165,18.656,7.493,2.458,6.814,3.971,2.996,99.450
s_FC1736  [25093],PLU,56.013,1.182,18.447,7.646,2.378,6.606,3.852,3.130,99.255
s_3MD137 [20525],PLU,56.043,0.885,16.088,7.280,1.227,2.804,3.096,2.764,90.187
s_GOSINGLE BONDN [25628],PLU,56.100,0.330,18.970,5.620,3.140,9.350,2.970,1.110,97.590
s_FO16149 [24870],PLU,56.110,1.090,17.870,6.660,3.840,6.670,2.980,2.270,97.490
s_924MD [20525],PLU,56.168,0.834,17.992,5.670,0.722,6.226,3.874,1.859,93.345
s_12719J [23254],PLU,56.200,0.830,16.800,7.990,3.210,6.630,3.300,1.710,96.670
s_3MD143 [20525],PLU,56.202,0.688,16.512,6.670,1.212,3.068,3.509,2.074,89.936
s_IC-97 [23339],PLU,56.220,0.824,18.340,5.510,1.900,7.080,4.250,1.130,95.254
s_VF-16 [23374],PLU,56.220,1.500,18.260,7.170,3.630,7.700,4.110,1.390,99.980
s_HA-10 [24081],PLU,56.300,0.760,17.300,5.810,2.730,4.720,4.010,2.870,94.500
s_JJJD_03 [24690],PLU,56.320,0.710,18.550,5.850,3.670,6.220,4.680,1.630,97.630
s_FO14128 [24870],PLU,56.380,0.860,17.680,8.790,2.720,3.630,2.450,4.220,96.730
s_13820J [22835],PLU,56.400,0.710,16.300,14.083,4.030,6.840,3.950,2.270,104.583
s_900647 [21647],PLU,56.494,1.186,16.404,14.567,4.467,6.509,3.374,2.614,105.615
s_013-TP7 [22118],PLU,56.550,1.040,16.920,7.630,3.810,7.080,2.930,2.030,97.990
s_FR0851 [25093],PLU,56.560,0.796,15.743,7.792,6.218,8.909,2.217,1.471,99.708
s_AMO814 [20547],PLU,56.580,0.790,17.680,7.060,3.210,7.020,3.240,1.660,97.240
s_10714H [22835],PLU,56.600,0.660,15.900,11.832,2.420,5.370,3.700,2.750,99.232
s_255 [23838],PLU,56.620,0.911,17.780,7.410,2.780,2.230,6.140,1.400,95.271
s_FA911 [23308],PLU,56.640,1.210,17.490,9.400,3.560,8.460,2.620,0.160,99.540
s_G-4 [7563],PLU,56.660,0.800,16.890,7.296,2.290,4.690,5.570,2.010,96.206
s_900823 [21647],PLU,56.720,0.880,19.270,7.878,1.900,5.440,3.540,4.750,100.378
s_BC93PAX07 [17221],PLU,56.873,1.881,16.998,2.540,5.414,6.020,1.404,2.822,93.951
s_900768 [21647],PLU,56.883,1.068,17.054,12.689,4.561,7.602,2.990,1.623,104.470
s_10718C [23254],PLU,56.900,0.990,15.000,6.830,3.420,5.490,3.000,2.780,94.410
s_LP 71 [20186],PLU,56.920,0.860,18.440,5.390,1.290,5.560,5.080,4.530,98.070
s_060496-5 [7426],PLU,56.940,0.830,16.520,7.859,2.900,5.520,3.400,3.100,97.069
s_JPZ-174 [25407],PLU,56.960,0.920,17.490,7.170,3.290,7.360,3.470,1.550,98.210
s_JJJD_05 [24690],PLU,57.000,1.040,20.700,5.040,1.690,8.580,3.000,1.010,98.060
s_FC1854 [24146],PLU,57.010,0.741,17.730,7.430,3.650,7.310,3.360,0.710,97.941
s_12719D [23254],PLU,57.100,0.640,17.000,6.440,3.170,6.990,3.300,1.310,95.950
s_CB3 [23709],PLU,57.100,0.820,16.970,6.220,2.840,6.500,4.090,1.930,96.470
s_12723C [23254],PLU,57.100,0.880,16.600,7.220,3.000,6.460,3.500,2.370,97.130
s_GMT-4 [23374],PLU,57.120,1.210,17.730,7.940,3.420,7.150,4.100,1.340,100.010
s_A312–29B [25370],PLU,57.210,1.130,16.500,6.680,3.440,6.240,4.100,1.610,96.910
s_GRL-3 [21657],PLU,57.250,0.640,15.320,8.520,3.680,8.760,2.480,0.280,96.930
s_893-R [7563],PLU,57.260,1.300,16.980,6.881,3.280,6.390,3.830,2.720,98.641
s_I13 [4863],PLU,57.290,1.140,17.890,7.080,3.452,6.590,3.680,2.340,99.462
s_10721M [22835],PLU,57.300,0.610,15.200,12.207,2.700,5.500,3.600,2.540,99.657
s_FC1735  [25093],PLU,57.379,1.108,17.554,7.471,2.400,6.727,3.812,2.957,99.408
s_10715D [23254],PLU,57.400,0.850,17.700,4.540,3.130,7.000,5.900,0.470,96.990
s_A1015-27 [24959],PLU,57.410,0.880,17.340,7.390,3.340,7.530,2.940,1.210,98.040
s_FJ3 [5760],PLU,57.420,1.130,17.510,7.530,3.200,6.440,3.170,2.740,99.140
s_110-R [7563],PLU,57.480,1.130,17.800,6.705,2.390,6.390,4.430,2.000,98.325
s_5/51 [5804],PLU,57.550,0.690,17.100,6.960,3.730,6.860,2.380,1.880,97.150
s_PU22 [7395],PLU,57.590,0.910,14.260,5.930,4.390,3.740,2.700,5.940,95.460
s_11TPM94 [22118],PLU,57.607,1.041,18.724,6.310,1.960,5.497,3.951,2.809,97.899
s_FR0758 [25093],PLU,57.656,1.109,16.920,4.986,6.131,5.526,5.112,2.077,99.516
s_BC93PAX11 [17221],PLU,57.707,1.276,15.085,2.320,5.668,5.940,1.940,2.582,92.518
s_A312–37A [25370],PLU,57.730,1.030,16.390,6.270,3.600,5.620,4.440,1.570,96.650
s_FA1006 [23308],PLU,57.746,0.911,18.407,8.199,3.566,7.513,2.925,0.319,99.586
s_CB6 [23709],PLU,57.760,0.780,17.440,6.070,2.800,5.520,4.160,2.930,97.460
s_A312–33A [25370],PLU,57.810,1.050,16.780,6.350,3.770,5.500,4.240,1.820,97.320
s_900679 [21647],PLU,57.820,0.652,14.810,12.413,5.308,7.844,2.648,1.698,103.193
s_A312–36C [25370],PLU,57.860,0.800,16.810,6.370,4.070,6.120,4.090,1.100,97.220
s_S19-08 [24933],PLU,57.920,0.780,17.350,6.870,3.240,5.580,2.270,2.240,96.250
s_MCH-3A [5039],PLU,58.030,1.360,16.790,7.860,3.850,0.130,0.220,5.490,93.730
s_223 [23838],PLU,58.050,0.887,16.870,6.180,2.860,5.530,4.170,1.980,96.527
