Sample,Rock Type,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,Total
T-4D,VOL,50.10,1.66,16.20,10.85,5.06,8.66,3.47,0.88,96.88
Huel-6,VOL,50.12,1.14,18.19,9.36,4.74,9.00,3.33,0.83,96.71
120309/03A,VOL,50.20,1.14,17.94,8.75,7.15,9.38,3.27,0.67,98.50
120309/03A,VOL,50.20,1.14,17.94,8.75,7.15,9.38,3.27,0.67,98.50
130108_03C_STAR,VOL,50.21,1.29,20.22,9.16,3.53,8.47,3.29,0.61,96.79
Cab2-1,VOL,50.24,1.14,17.50,9.40,6.33,8.79,3.34,0.82,97.56
FB210314-5,VOL,50.26,1.00,17.46,9.24,6.63,8.87,3.03,0.75,97.24
Cab1-1,VOL,50.26,1.12,17.48,9.26,6.80,8.68,3.30,0.75,97.65
Sanj-1,VOL,50.29,0.80,15.63,9.50,9.83,9.88,2.50,0.41,98.85
120309/01A,VOL,50.33,1.10,17.66,8.77,7.77,9.05,3.18,0.67,98.53
120309/01A,VOL,50.33,1.10,17.66,8.77,7.77,9.05,3.18,0.67,98.53
23-9A,VOL,50.34,0.81,20.24,7.49,5.60,10.71,2.42,0.44,98.05
120308/03C,VOL,50.38,1.22,19.17,8.89,6.13,8.62,3.15,0.89,98.46
FB141112-10,VOL,50.42,0.97,18.87,9.71,5.75,9.04,2.85,0.44,98.05
Barda1-2,VOL,50.45,1.08,16.82,9.67,7.59,9.07,3.13,0.74,98.55
Cañi-5,VOL,50.49,1.02,17.32,9.64,6.65,8.45,3.17,0.85,97.59
040476-01,VOL,50.57,0.66,17.64,9.73,7.33,10.05,2.86,0.62,99.46
FB220114-10,VOL,50.64,1.20,18.42,10.13,4.60,8.02,3.75,0.48,97.24
21-5B,VOL,50.69,0.75,15.12,8.18,11.99,9.28,2.21,0.51,98.72
26-8A,VOL,50.72,1.06,18.53,8.81,6.17,7.96,2.66,0.74,96.65
26-8A,VOL,50.72,1.06,18.53,8.81,6.17,7.96,2.66,0.74,96.65
FB230114-1,VOL,50.73,1.17,18.51,10.37,4.44,8.08,3.41,0.47,97.18
CLD177E,VOL,50.77,1.09,18.39,8.43,7.19,8.75,3.02,0.94,98.59
Cab3-1,VOL,50.78,1.14,17.56,9.53,7.06,8.72,3.37,0.80,98.96
PU-02-05,VOL,50.87,0.95,17.67,9.82,7.98,9.45,2.90,0.58,100.22
Red-5,VOL,50.87,0.99,17.24,9.70,7.35,9.07,3.08,0.79,99.09
Pi-1,VOL,50.87,1.23,18.08,8.46,6.41,8.40,3.30,1.21,97.96
LL141112-3,VOL,50.91,1.12,19.25,10.36,4.44,7.23,3.48,0.51,97.30
cr-2,VOL,50.91,1.16,19.50,8.49,4.98,9.15,3.48,0.91,98.58
Huel-3,VOL,50.95,1.13,18.22,9.77,5.67,9.55,3.23,0.83,99.35
226_05A,VOL,50.96,1.49,17.25,10.02,4.31,8.00,3.77,0.64,96.43
120308/06D,VOL,51.04,1.10,18.13,8.41,6.66,9.04,3.21,1.01,98.58
CLD230A,VOL,51.06,1.25,20.45,9.29,3.53,8.67,3.52,0.78,98.56
FB091012-7,VOL,51.13,2.40,14.37,12.06,4.42,7.89,3.60,0.85,96.72
PU-05-35,VOL,51.20,0.91,19.57,8.99,4.77,10.59,3.08,0.60,99.71
FB220314-5,VOL,51.21,1.10,18.42,9.79,4.53,7.98,3.64,0.45,97.12
Rel1-2,VOL,51.22,1.17,17.55,10.74,5.79,8.46,3.29,1.11,99.33
FB141112-5,VOL,51.23,1.15,18.71,10.37,4.51,8.13,3.63,0.50,98.23
035(b),VOL,51.31,1.17,17.44,11.24,5.58,9.01,3.32,0.55,99.62
Cab2-2,VOL,51.31,1.13,17.45,9.69,7.45,8.84,3.33,0.75,99.95
FB230114-2,VOL,51.35,1.17,18.14,10.32,4.51,8.12,3.62,0.49,97.72
130111_08A,VOL,51.36,1.10,17.61,8.46,7.55,8.90,2.91,0.77,98.66
130116_11E,VOL,51.38,1.39,18.20,8.47,4.99,9.09,3.38,1.34,98.24
FB091012-1,VOL,51.39,1.15,18.49,10.55,4.62,8.01,3.57,0.47,98.25
FB151112-1,VOL,51.40,1.05,17.31,8.95,6.83,8.66,3.17,0.88,98.25
FB141112-8,VOL,51.43,1.08,18.74,10.06,4.84,8.38,3.28,0.48,98.29
170(b),VOL,51.44,1.18,15.90,10.82,7.36,9.37,2.92,0.64,99.63
CLD248B,VOL,51.45,0.96,19.97,8.43,5.31,8.74,3.19,0.66,98.71
HL1,VOL,51.48,1.16,17.75,8.10,6.24,9.18,3.27,1.13,98.31
020976-02,VOL,51.50,0.60,20.48,8.76,3.68,10.62,2.78,0.41,98.83
FB220314-7,VOL,51.50,1.01,18.58,10.04,4.05,7.31,3.88,0.53,96.90
LL141112-1,VOL,51.50,1.09,18.61,10.04,4.82,8.48,3.50,0.54,98.58
PU-05-33,VOL,51.50,1.12,18.73,11.50,4.31,8.22,3.73,0.55,99.66
220483-01,VOL,51.52,0.78,20.58,7.42,4.88,10.45,2.94,0.36,98.93
FB091012-6,VOL,51.52,1.08,18.54,10.88,4.44,7.98,3.68,0.47,98.59
130111_02Bii,VOL,51.52,1.12,18.86,8.91,4.66,9.88,3.37,0.52,98.85
